Location Lat,Location Lon,Status,Business Name,Category,Confidence (Distance),City,Country,Google Maps Link
49.2504153,-122.7648682,Identified,The Floral Revelry Florist,florist,Nearest Business (23.1m),Port Coquitlam,Canada,https://maps.google.com/?cid=954188323619253152&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
47.6259308,-122.1487533,Identified,Bellevue Family YMCA,gym,Nearest Business (69.5m),Bellevue,United States,https://maps.google.com/?cid=3596679688337147818&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2853429,-123.1143966,Identified,Waterfront Canada Line Station,transportation service,Nearest Business (25.7m),Vancouver,Canada,https://maps.google.com/?cid=5645833467606463501&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.26419109999999,-122.8546703,Identified,821 Fairfax St,misc,Exact Match (100%),Coquitlam,Canada,https://maps.google.com/?cid=10054895738667556065&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.3066311,-122.7745799,Identified,Allard Contractors Ltd,corporate office,Nearest Business (87.7m),Coquitlam,Canada,https://maps.google.com/?cid=5338504109605445902&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1947578,-123.0963755,Identified,Allcan Logistic Services Ltd,storage,Nearest Business (33.7m),Richmond,Canada,https://maps.google.com/?cid=3268916263742435874&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2630017,-123.1166817,Identified,Chipotle Mexican Grill,mexican restaurant,Nearest Business (49.0m),Vancouver,Canada,https://maps.google.com/?cid=13869283520808217188&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.19156049999999,-122.8750432,Identified,BC Capital,finance,Nearest Business (6.2m),Surrey,Canada,https://maps.google.com/?cid=4109628384829240217&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2715627,-122.7921176,Identified,BC Christian Academy High School,secondary school,Nearest Business (0.2m),Coquitlam,Canada,https://maps.google.com/?cid=11351105168709321142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2559242,-122.7299986,Identified,Riverside Community Church,church,Nearest Business (9.7m),Port Coquitlam,Canada,https://maps.google.com/?cid=16692319489098934895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2804304,-122.7436835,Identified,BC CHRISTIAN ATHLETICS,sports club,Nearest Business (6.1m),Port Coquitlam,Canada,https://maps.google.com/?cid=4270898370875330869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1553101,-122.6671903,Identified,Q Dermatology + Aesthetics Centre,medical clinic,Exact Match (100%),Langley,Canada,https://maps.google.com/?cid=13970193154783128439&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1363306,-123.0237115,Identified,7311 Vantage Wy,misc,Exact Match (100%),Delta,Canada,https://maps.google.com/?cid=15743498652945448285&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.1904464,-122.8225875,Identified,Cedar Grove Baptist Church,church,Nearest Business (24.6m),Surrey,Canada,https://maps.google.com/?cid=10512457816014046029&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1590717,-121.9586391,Identified,45681 Yale Rd,misc,Exact Match (100%),Chilliwack,Canada,"https://maps.google.com/?q=45681+Yale+Rd,+Chilliwack,+BC+V2P+2N3,+Canada&ftid=0x54843f648834c3cb:0x69a1497d3ec1bc21&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
49.2723435,-123.0679018,Identified,Marcello Ristorante & Pizzeria,italian restaurant,Nearest Business (114.7m),Vancouver,Canada,https://maps.google.com/?cid=9459389347984381008&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
50.7308485,-120.3668417,Identified,Cleartech Consulting Ltd,service,Nearest Business (4.8m),Kamloops,Canada,https://maps.google.com/?cid=17038893435989039540&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.3080035,-122.7741638,Identified,Coquitlam Concrete Ltd,manufacturer,Nearest Business (34.6m),Coquitlam,Canada,https://maps.google.com/?cid=10797161636775131369&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2006562,-122.9856734,Identified,5489 Byrne Rd,misc,Exact Match (100%),Burnaby,Canada,https://maps.google.com/?cid=8349654509540038061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.1829547,-123.0744277,Identified,Ideon Technologies Inc.,misc,Exact Match (100%),Richmond,Canada,https://maps.google.com/?cid=16417730753713580870&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1363443,-123.0246356,Identified,7350 72 St #112B,misc,Exact Match (100%),Delta,Canada,https://maps.google.com/?cid=427850404412269082&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.19095340000001,-122.9967282,Identified,7438 Fraser Park Dr,misc,Exact Match (100%),Burnaby,Canada,https://maps.google.com/?cid=5210817024013572278&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
53.50271670000001,-113.5047236,Identified,Elements Hair & Body Care,hair salon,Nearest Business (1.2m),Edmonton,Canada,https://maps.google.com/?cid=8474523935159172666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1883625,-122.979992,Identified,8059 N Fraser Wy,misc,Exact Match (100%),Burnaby,Canada,https://maps.google.com/?cid=16548719461635379180&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.3062962,-124.3587081,Identified,Express Custom Manufacturing (2024) Ltd.,manufacturer,Nearest Business (14.3m),Parksville,Canada,https://maps.google.com/?cid=13902494629888486247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2823388,-123.0744468,Identified,1495 Franklin St,misc,Exact Match (100%),Vancouver,Canada,https://maps.google.com/?cid=4928354128390073860&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.2847257,-123.1144069,Identified,470 Granville St,misc,Exact Match (100%),Vancouver,Canada,"https://maps.google.com/?q=470+Granville+St,+Vancouver,+BC+V6C,+Canada&ftid=0x548671789b70025d:0x737c04c6456fb89f&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
49.2314631,-122.823431,Identified,"LINCONSON INDUSTRIES - Warehouse Pallet Racking, Temporary Fencing & Material Handling Equipment",manufacturer,Nearest Business (59.3m),Coquitlam,Canada,https://maps.google.com/?cid=11445969921501790921&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2534713,-122.7325606,Identified,GQ Flooring,building materials store,Nearest Business (4.2m),Port Coquitlam,Canada,https://maps.google.com/?cid=5083855050900227987&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
53.9539176,-122.7639344,Identified,C&V Trailer Sales and Rentals,store,Exact Match (100%),Prince George,Canada,https://maps.google.com/?cid=11485730071012963141&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.8470436,-123.5011037,Identified,WorkBC Employment Services,employment agency,Nearest Business (1.0m),Salt Spring Island,Canada,https://maps.google.com/?cid=14892482251702422748&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1365969,-121.9587911,Identified,7408 Vedder Rd,misc,Exact Match (100%),Chilliwack,Canada,"https://maps.google.com/?q=7408+Vedder+Rd,+Chilliwack,+BC+V2R+4E7,+Canada&ftid=0x548440bbc8638917:0x59069ae7df617cb5&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
49.2883223,-123.1200016,Identified,Pinnacle Hotel Harbourfront,hotel,Nearest Business (35.7m),Vancouver,Canada,https://maps.google.com/?cid=7449117706600978515&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1575018,-121.9585057,Identified,Homemaker Discount Furniture Outlet Ltd.,furniture store,Nearest Business (87.0m),Chilliwack,Canada,https://maps.google.com/?cid=16380117250850455011&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.8311499,-119.6263899,Identified,2423 Apollo Rd,misc,Exact Match (100%),West Kelowna,Canada,https://maps.google.com/?cid=11856243786997090540&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.0443806,-122.2809392,Identified,34077 Gladys Ave #120,misc,Exact Match (100%),Abbotsford,Canada,https://maps.google.com/?cid=9044530214707025940&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
53.5407041,-113.4943951,Identified,10117 Jasper Ave #606,misc,Exact Match (100%),Edmonton,Canada,https://maps.google.com/?cid=251660359774384111&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
43.671966,-79.3780757,Identified,365 Bloor St E #800,misc,Exact Match (100%),Toronto,Canada,https://maps.google.com/?cid=10524434690930878474&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.2597161,-123.0436942,Identified,2920 Virtual Way,misc,Exact Match (100%),Vancouver,Canada,https://maps.google.com/?cid=854232682247703475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.3133396,-123.0855833,Identified,BCIT Marine Campus,university,Nearest Business (81.9m),North Vancouver,Canada,https://maps.google.com/?cid=6574391185487333377&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.27868429999999,-123.0983551,Identified,235 E Georgia St,misc,Exact Match (100%),Vancouver,Canada,https://maps.google.com/?cid=3341101021576742006&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.1053585,-122.7351875,Identified,5669 176 St,misc,Exact Match (100%),Surrey,Canada,https://maps.google.com/?cid=18403117023254747405&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.09012689999999,-123.1641687,Identified,2194 Westham Island Rd,premise,Exact Match (100%),Delta,Canada,https://maps.google.com/?cid=8917346906041844060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.1202334,-123.0467498,Identified,NuAge Foam Inc.,manufacturer,Exact Match (100%),Delta,Canada,https://maps.google.com/?cid=11433609101224501677&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1245358,-123.0989335,Identified,Ocean Gate Fishery Ltd,wholesaler,Nearest Business (6.8m),Richmond,Canada,https://maps.google.com/?cid=9004238062502531072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.1690416,-122.9552401,Identified,1292 Cliveden Ave,misc,Exact Match (100%),New Westminster,Canada,https://maps.google.com/?cid=7982806155666629699&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.0042795,-122.7313794,Identified,Spady Transport Ltd,transportation service,Nearest Business (7.1m),Surrey,Canada,https://maps.google.com/?cid=406895236978910875&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2837522,-123.071628,Identified,1641 Powell St,misc,Exact Match (100%),Vancouver,Canada,https://maps.google.com/?cid=692813135062759689&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.282578,-123.1088027,Identified,SFU Goldcorp Centre for the Arts,academic department,Nearest Business (28.0m),Vancouver,Canada,https://maps.google.com/?cid=15225926429908468614&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.2006562,-122.9856734,Identified,5489 Byrne Rd,misc,Exact Match (100%),Burnaby,Canada,https://maps.google.com/?cid=8349654509540038061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
49.2846584,-123.1120122,Identified,555 W Hastings St,misc,Exact Match (100%),Vancouver,Canada,"https://maps.google.com/?q=555+W+Hastings+St,+Vancouver,+BC+V6B,+Canada&ftid=0x548671785f76f787:0x235d6c99a25ab53&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
49.3067085,-124.2556835,Identified,Amazing Cottage On The Ocean ~ Private Oceanside Acreage ~ Miles Of Beach!,lodging,Nearest Business (3.1m),Parksville,Canada,https://maps.google.com/?cid=11220414272224691512&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
49.19222010000001,-123.1666612,Identified,5200 Miller Rd,misc,Exact Match (100%),Richmond,Canada,"https://maps.google.com/?q=5200+Miller+Rd,+Richmond,+BC+V7B+1K6,+Canada&ftid=0x54860b332dbc6ab1:0x65eeb2289082202f&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
48.4187907,-123.4876941,Identified,Dunsmuir Middle School,school,Nearest Business (30.3m),Victoria,Canada,https://maps.google.com/?cid=14283336651854863118&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.380604,-123.7142554,Identified,6526 Sooke Rd,misc,Exact Match (100%),Sooke,Canada,"https://maps.google.com/?q=6526+Sooke+Rd,+Sooke,+BC+V9Z+0Z1,+Canada&ftid=0x548f056c3750b479:0x9d0443f18a003c1d&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
48.3883563,-123.6963987,Identified,6218 Sooke Rd,misc,Exact Match (100%),Sooke,Canada,https://maps.google.com/?cid=51727843256308570&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
48.3708587,-123.7490306,Identified,John Muir Elementary School,primary school,Nearest Business (12.6m),Sooke,Canada,https://maps.google.com/?cid=7464582987039850780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.3863052,-123.7164837,Identified,6522 Throup Rd,misc,Exact Match (100%),Sooke,Canada,"https://maps.google.com/?q=6522+Throup+Rd,+Sooke,+BC+V9Z+0W6,+Canada&ftid=0x548f056997fc9e01:0xd96c38cab7ac8c5&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
48.4470668,-123.5414973,Identified,3100 Constellation Ave,misc,Exact Match (100%),Langford,Canada,https://maps.google.com/?cid=295211591940993260&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
48.3877153,-123.6880145,Identified,6066 Sooke Rd,misc,Exact Match (100%),Sooke,Canada,https://maps.google.com/?cid=5541826720359436269&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
48.380319,-123.7156761,Identified,Sooke Elementary,primary school,Exact Match (100%),Sooke,Canada,https://maps.google.com/?cid=11190852317488951437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.436454,-123.5130963,Identified,Sooke School District 62,misc,Nearest Business (16.2m),Langford,Canada,https://maps.google.com/?cid=5976682697938810033&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.4504326,-123.5145278,Identified,Spencer Middle School,school,Nearest Business (40.8m),Langford,Canada,https://maps.google.com/?cid=15229405683967765926&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.4367933,-123.4865265,Identified,2139 Sooke Rd,misc,Exact Match (100%),Victoria,Canada,https://maps.google.com/?cid=16982473707158262751&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
48.44981,-123.5015574,Identified,Devonshire Vape and Cigars,store,Nearest Business (45.4m),Langford,Canada,https://maps.google.com/?cid=4260172968144835424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
48.4574299,-123.5496954,Identified,2939 Mt Wells Dr,misc,Exact Match (100%),Langford,Canada,"https://maps.google.com/?q=2939+Mt+Wells+Dr,+Victoria,+BC+V9B,+Canada&ftid=0x548f0d826c9c8b2f:0xc1854c25a6ec0690&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
48.44981,-123.5015574,Identified,Devonshire Vape and Cigars,store,Nearest Business (45.4m),Langford,Canada,https://maps.google.com/?cid=4260172968144835424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
